users_id,tracks_id,interaction_count,total_playcount,track_name,artist_name,artist_genre,artist_birth_date,artist_birth_place,source
3507776,9524,21,21,Full On Fluoro 024,Paul Oakenfold,Male,1963-08-30T00:00:00Z,London,file1
31435741,182,45,45,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,,,,file1
31435741,1411,37,37,Good Good Night,Roscoe Dash,Male,1990-04-02T00:00:00Z,Atlanta,file1
31435741,1858,22,22,Down By the River,Bliss n Eso,,,,file1
32226961,2633,36,36,Shadowplay,Joy Division,,,,file1
21072247,800,28,28,Sword Chant,Ensiferum,,,,file1
21072247,114,29,29,Time,Wintersun,,,,file1
31435741,2525,51,51,Super Psycho Love,Simon Curtis,Male,1960-03-11T00:00:00Z,London,file1
21072247,1371,31,31,This Is the End,Machine Head,,,,file1
3507776,8187,27,27,Gave Me,Giuseppe Ottaviani,Male,1978-11-12T00:00:00Z,Viterbo,file1
21072247,2379,27,40,Holy Wars...The Punishment Due,Megadeth,,,,file1
31435741,19,22,22,Fire It Up!,Limp Bizkit,,,,file1
32226961,3789,25,25,Precious,Depeche Mode,,,,file1
31435741,1989,27,27,I Came 2 Party,Cinema Bizarre,,,,file1
32226961,3594,21,21,Twilight,Lake of Tears,,,,file1
3507776,8871,22,22,Back For More,Jon O'bir,,,,file1
31435741,1904,31,31,Выбирать чудо,Нюша,,,,file1
31435741,895,21,21,Y'all Don't Really Know (zaycev.net),DMX,Male,1970-12-18T00:00:00Z,Mount Vernon,file1
21072247,1752,42,44,Crazy Train,Ozzy Osbourne,Male,1948-12-03T00:00:00Z,Marston Green,file1
31435741,1859,22,22,Addicted (zaycev.net),Bliss n Eso,,,,file1
31435741,2314,44,44,Stripped,Depeche Mode,,,,file1
21072247,799,20,20,Tale of Revenge,Ensiferum,,,,file1
31435741,2396,57,57,The Lost (We Are),Prototype,,,,file1
21072247,119,27,27,Sons of Winter and Stars,Wintersun,,,,file1
21072247,1232,22,22,"Red Light In My Eyes, Pt. 2",Children of Bodom,,,,file1
32226961,3755,20,20,Iron Lion Zion,Bob Marley,Male,1945-02-06T00:00:00Z,Nine Mile,file1
31435741,1545,52,52,Wicked Games,The Weeknd,Male,1990-02-16T00:00:00Z,Toronto,file1
21072247,101,25,28,Mr. Crowley,Ozzy Osbourne,Male,1948-12-03T00:00:00Z,Marston Green,file1
31435741,932,42,42,Bitch Came Back,Theory of a Deadman,,,,file1
31435741,1850,23,23,On A Bender,Bliss n Eso,,,,file1
32226961,3383,33,33,The Passenger,Iggy Pop,Male,1947-04-21T00:00:00Z,Muskegon,file1
32226961,3111,32,32,Where Silent Gods Stand Guard,Amon Amarth,,,,file1
21072247,118,21,21,Land of Snow and Sorrow,Wintersun,,,,file1
31435741,2477,43,43,What I Get,Allele,,,,file1
31435741,1295,132,132,Freeek!,George Michael,Male,1963-06-25T00:00:00Z,East Finchley,file1
31435741,1764,32,32,Your Body (zaycev.net),Christina Aguilera,Female,1980-12-18T00:00:00Z,Staten Island,file1
12142866,3551,42,42,The Wishing Well (ii) So By Sowest,Pendragon,,,,file1
32226961,3797,26,26,Just Can't Get Enough,Depeche Mode,,,,file1
31435741,1889,22,22,Nowhere But Up,Bliss n Eso,,,,file1
3507776,7036,20,20,Empty Promises (Original Mix),Reverse,,,,file1
3507776,6907,20,20,Amsterdam,Imagine Dragons,,,,file1
31435741,1294,131,131,Too Funky,George Michael,Male,1963-06-25T00:00:00Z,East Finchley,file1
31435741,2311,41,43,Policy of Truth,Depeche Mode,,,,file1
31435741,1710,29,29,Baker Street (Vocal Edit),Michael Mind,,,,file1
31435741,1090,52,52,Rat Race,Billy Idol,Male,1955-11-30T00:00:00Z,Stanmore,file1
2798275,5605,23,23,戯園,"Kagrra,",,,,file1
32226961,3790,21,21,Never Let Me Down Again,Depeche Mode,,,,file1
31435741,1373,68,68,Cyanide Sweet Tooth Suicide (zaycev.net),Shinedown,,,,file1
31435741,2098,54,54,Get Up (Dirty),50 Cent,Male,1975-07-06T00:00:00Z,South Jamaica,file1
31435741,757,29,29,Affair,Hurts,,,,file1
32226961,3087,53,53,Transmission,Joy Division,,,,file1
32226961,2653,39,39,Disorder,Joy Division,,,,file1
12142866,1344,23,23,Second Life Syndrome,Riverside,,,,file1
31435741,850,29,29,Doin Me,Kid Ink,Male,1986-04-01T00:00:00Z,Los Angeles,file1
31435741,1191,169,169,Mala Mala (She So Bad),Lil Eddie,,,,file1
2798275,6141,22,22,negai ga kanau youni,Drug Store Cowboy,,,,file1
31435741,2040,22,22,"Ghetto Soldier - Ky-mani Marley featuring Louie Rankin, Main",Ky-Mani Marley,,,,file1
31435741,781,26,26,Unspoken,Hurts,,,,file1
12142866,3553,29,29,01. As Good As Gold,Pendragon,,,,file1
31435741,1063,33,33,Кончится лето,Кино,,,,file1
21072247,1080,21,21,Murmaider II The Water God,Dethklok,,,,file1
21072247,192,22,22,Hellraiser,Ozzy Osbourne,Male,1948-12-03T00:00:00Z,Marston Green,file1
32226961,3607,40,43,Love Will Tear Us Apart,Joy Division,,,,file1
31435741,1903,31,31,Выше,Нюша,,,,file1
31435741,931,40,40,Villain,Theory of a Deadman,,,,file1
32226961,2833,37,37,Sister Midnight,Iggy Pop,Male,1947-04-21T00:00:00Z,Muskegon,file1
31435741,86,84,85,Crystalised,The xx,,,,file2
32226961,4931,24,24,Shake the Disease,Depeche Mode,,,,file2
12142866,1922,22,22,Dotyk nocy,Svann,,,,file2
3507776,7443,20,20,Sun In Your Eyes (Mark Sherry's 'Argentinian Sun' Unofficial Remix),Above & Beyond,,,,file2
31435741,1774,37,37,Hardest Man In Town,Nate Dogg,Male,1969-08-19T00:00:00Z,Long Beach,file2
32226961,3599,23,23,Heiðr,Burzum,,,,file2
31435741,2084,42,42,Love Profusion,Madonna,Female,1958-08-16T00:00:00Z,Bay City,file2
31435741,2153,23,23,Around The Bend,The Asteroids Galaxy Tour,,,,file2
32226961,4814,21,21,Somebody to Love,Jefferson Airplane,,,,file2
21072247,1304,38,38,Aesthetics of Hate,Machine Head,,,,file2
21072247,582,23,23,Technical Difficulties,Racer X,,,,file2
32226961,3794,24,24,Suffer Well,Depeche Mode,,,,file2
31435741,1789,51,51,Eyes Closed,Kanye West,Male,1977-06-08T00:00:00Z,Atlanta,file2
31435741,2227,166,166,Glamorous,Fergie,Female,1975-03-27T00:00:00Z,Whittier,file2
31435741,1345,70,70,025 Tony Yayo Feat  50 Cent / So Seductive,Bravo unreal,,,,file2
31435741,2400,45,45,Lost weekend,Ninja Tune,,,,file2
31435741,2401,142,142,No More Love,Emphatic,,,,file2
21072247,1525,20,20,Viking Kong,Racer X,,,,file2
31435741,231,107,107,Adrenaline (zaycev.net),Nine Lashes,,,,file2
3507776,6823,21,21,We Are Tonight (Original Mix),Christian Burns & Paul Van Dyk,Male,1974-01-18T00:00:00Z,Liverpool,file2
31435741,601,129,129,Tired Of Being Sorry,Enrique Iglesias,Male,1975-05-08T00:00:00Z,Madrid,file2
21072247,1096,22,22,Głową w mur,Alastor,,,,file2
2798275,5415,22,22,夢のような日々,Kra,,,,file2
21072247,105,32,32,Violent Revolution,Kreator,,,,file2
31435741,1584,70,70,This Is The Night,Guru Josh Project,,,,file2
31435741,1902,30,30,Больно,Нюша,,,,file2
31435741,1698,29,29,Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,,,,file2
32226961,4782,22,22,It's No Good,Depeche Mode,,,,file2
32226961,9,23,52,Varyags of Miklagaard,Amon Amarth,,,,file2
32226961,4591,21,21,Incubation,Joy Division,,,,file2
31435741,2498,21,21,Blue Jeans,Lana Del Rey,Female,1985-06-21T00:00:00Z,New York City,file2
21072247,167,24,24,The Hellion,Judas Priest,,,,file2
31435741,2445,31,31,Till The World Ends,Tyler Ward,Male,1989-03-12T00:00:00Z,Denver,file2
3507776,7883,22,22,End Of Summer (Original Mix),Activa,,,,file2
31435741,2518,49,49,I Just Wanna,50 Cent,Male,1975-07-06T00:00:00Z,South Jamaica,file2
21072247,1851,24,24,Full Tank,Paul Gilbert,Male,1966-11-06T00:00:00Z,Carbondale,file2
31435741,1244,66,66,Silent Machine (zaycev.net),Cat Power,Female,1972-01-21T00:00:00Z,Atlanta,file2
31435741,731,30,30,Happiness,Hurts,,,,file2
31435741,976,47,47,Never Win (Benny Benassi Remix),Fischerspooner,,,,file2
31435741,2117,40,40,I'm On It (NO Tags),50 Cent,Male,1975-07-06T00:00:00Z,South Jamaica,file2
3507776,7153,30,30,Glühwürmchen (Original Mix),Kyau vs. Albert,,,,file2
31435741,2144,22,22,Satellite,The Asteroids Galaxy Tour,,,,file2
31435741,396,76,76,Prince Igor,Warren G,Male,1970-11-10T00:00:00Z,Long Beach,file2
31435741,2315,39,53,People Are People,Depeche Mode,,,,file2
3507776,7157,32,32,Everywhere  (Extended Mix),Paul Van Dyk feat. Fieldwork,,,,file2
32226961,4698,27,27,Success,Iggy Pop,Male,1947-04-21T00:00:00Z,Muskegon,file2
32226961,4568,30,30,Roxanne 97 Puff Daddy Remix,The Police,,,,file2
31435741,1237,123,123,Tear Da Roof Off (OST Step Up 3D),Busta Rhymes,Male,1972-05-20T00:00:00Z,East Flatbush,file2
21072247,20,37,40,Destroy The Orcs,3 Inches of Blood,,,,file2
31435741,2444,31,31,E.T. (Katy Perry Acoustic Cover),Tyler Ward,Male,1989-03-12T00:00:00Z,Denver,file2
31435741,951,40,40,Lyrical Miracle,Brandon T. Jackson,,,,file2
31435741,1765,30,30,Prima Donna,Christina Aguilera,Female,1980-12-18T00:00:00Z,Staten Island,file2
21072247,424,21,21,From the Ashes,Gamma Ray,,,,file2
32226961,4337,21,21,Headstones,Lake of Tears,,,,file2
3507776,7949,27,27,The One (Original Mix),Simon Patterson feat. Lucy Pullin,,,,file2
31435741,2005,51,51,Cooler Than Me (Radio Edit),Mike Posner,Male,1988-02-12T00:00:00Z,Detroit,file2
32226961,3608,22,22,Don't Let Me Go Away,Ankhagram,,,,file2
21072247,1756,21,21,Krew I Łzy,Bonarges,,,,file2
31435741,1652,66,66,The Little Things Give You Away,Linkin Park,,,,file2
21072247,2450,20,20,Cementery Gates,Pantera,Male,1964-02-03T00:00:00Z,Santiago de Querétaro,file2
21072247,3256,23,23,Children of Bodom,Children of Bodom,,,,file2
32226961,2607,24,24,Heart and Soul,Joy Division,,,,file2
31435741,1585,177,177,Deep,Nine Inch Nails,,,,file2
21072247,164,22,22,Electric Eye,Judas Priest,,,,file2
3507776,9863,20,20,No Saint Out of Me (Original Mix),Orjan Nilsen,,,,file2
2798275,5772,25,25,常夜の君,Kra,,,,file2
21072247,1114,28,28,Floods,Pantera,Male,1964-02-03T00:00:00Z,Santiago de Querétaro,file2
21072247,234,29,29,Satch Boogie,Joe Satriani,Male,1956-07-15T00:00:00Z,Westbury,file3
32226961,6463,20,20,Systematic Genocide,Warbringer,,,,file3
2798275,5591,20,20,泡沫の花びら,Kra,,,,file3
12142866,305,23,23,Radioactive Toy,Porcupine Tree,,,,file3
2798275,5595,21,21,月下美人,Kra,,,,file3
31435741,355,40,40,Гинеколог,Кравц,,,,file3
31435741,1552,20,20,Sadeness,Enigma,,,,file3
32226961,2626,20,20,Isolation,Joy Division,,,,file3
31435741,753,31,31,"Blood, Tears & Gold",Hurts,,,,file3
12142866,470,22,22,Normal,Porcupine Tree,,,,file3
32226961,4569,24,24,These Days,Joy Division,,,,file3
3507776,8183,33,33,The Stockholm Syndrome (CLMD Extended Version),CLMD vs Kish feat. Froder,,,,file3
32226961,12,39,51,Live for the Kill,Amon Amarth,,,,file3
21072247,2170,21,21,Through Fight We Grow,Virgin Snatch,,,,file3
12142866,3384,23,23,Ksiazę,Svann,,,,file3
21072247,722,22,22,Goddamn Electric,Pantera,Male,1964-02-03T00:00:00Z,Santiago de Querétaro,file3
12142866,1795,20,20,Stripsearch,Faith No More,,,,file3
31435741,1075,77,77,Группа крови,Кино,,,,file3
3507776,10179,30,30,Different,Robbie Williams,Male,1974-02-13T00:00:00Z,Stoke-on-Trent,file3
31435741,374,239,239,Miracle,Hurts,,,,file3
21072247,835,30,30,Maddening Disdain,Arsis,,,,file3
3507776,8109,21,21,Spellbound (Original Mix),Darren Porter,,,,file3
21072247,8,41,49,Tornado Of Souls,Megadeth,,,,file3
31435741,426,155,155,Bad Blood,Bastille,,,,file3
3507776,11938,23,23,My Love (Outburst Vocal Mix),Mark Sherry,Male,1975-03-20T00:00:00Z,Ayr,file3
21072247,9,29,52,Varyags of Miklagaard,Amon Amarth,,,,file3
31435741,653,166,166,The Road (zaycev.net),Hurts,,,,file3
31435741,53,54,54,Sick and Tired,Anastacia,Female,1968-09-17T00:00:00Z,Chicago,file3
21072247,751,35,35,The Curse of Castle Dragon,Paul Gilbert,Male,1966-11-06T00:00:00Z,Carbondale,file3
31435741,322,40,40,Can't Play Dead (zaycev.net),The Heavy,,,,file3
2798275,5930,34,34,マスカレード,Kra,,,,file3
3507776,8877,22,22,Our Way Home,Lange,Male,1974-06-04T00:00:00Z,Shrewsbury,file3
21072247,721,21,21,Yesterday Don't Mean Shit,Pantera,Male,1964-02-03T00:00:00Z,Santiago de Querétaro,file3
31435741,2019,63,63,Sorry,Madonna,Female,1958-08-16T00:00:00Z,Bay City,file3
31435741,2215,30,30,Twist and Shout,The Beatles,,,,file3
31435741,1043,86,86,Boys,Sabrina,Female,1936-05-19T00:00:00Z,Stockport,file3
21072247,287,51,52,Master of Puppets,Metallica,,,,file3
32226961,3783,22,24,Enjoy the Silence,Depeche Mode,,,,file3
3507776,7980,22,22,Tyrant (Angry Acid Mix),Angry man,,,,file3
31435741,2428,95,95,Here We Go Again,Static Cycle,,,,file3
31435741,756,26,26,Mother Nature,Hurts,,,,file3
3507776,8963,20,20,Mescaline (Future Disciple Remix),Angry man,,,,file3
31435741,752,30,30,Devotion,Hurts,,,,file3
31435741,1899,39,39,Попытка №5,ВИА Гра,,,,file3
31435741,1898,32,32,Отображение,Нюша,,,,file3
3507776,9252,20,20,Lost In Berlin feat. Michelle Leonard (Extended Mix),Paul Van Dyk feat. Michelle Leonard,,,,file3
32226961,2595,20,26,December Flower,In Flames,,,,file3
21072247,438,22,22,The Fun Palace,Annihilator,,,,file3
32226961,3788,41,41,New Life,Depeche Mode,,,,file3
31435741,866,96,96,Catch Me If You Can,Gym Class Heroes,,,,file3
32226961,3385,39,39,Some Weird Sin,Iggy Pop,Male,1947-04-21T00:00:00Z,Muskegon,file3
31435741,790,27,27,Sunday,Hurts,,,,file3
3507776,9901,35,35,Sincerely JORS,John O'Callaghan & Ronski Speed,,,,file3
12142866,65,72,72,Ordery Chwały,The Bill,,,,file3
32226961,4774,20,20,Twilight of the Thunder God,Amon Amarth,,,,file3
32226961,6402,22,22,Intervention,Arcade Fire,,,,file3
21072247,193,25,25,Believer,Ozzy Osbourne,Male,1948-12-03T00:00:00Z,Marston Green,file3
2798275,5522,28,28,Clown's Crown,Kra,,,,file3
3507776,7888,20,20,Everywhere I Go (Indecent Noise's Godskitche Rework),The Space Brothers,,,,file3
31435741,559,70,70,Man's World,50 Cent,Male,1975-07-06T00:00:00Z,South Jamaica,file3
3507776,7844,29,29,Fall With Me (Original Mix),Ben Gold feat. The Glass Child,,,,file3
31435741,755,29,29,The Water,Hurts,,,,file3
32226961,3405,30,30,Tonight,Iggy Pop,Male,1947-04-21T00:00:00Z,Muskegon,file3
31435741,791,28,28,Stay,Hurts,,,,file3
31435741,1709,39,39,With You,Linkin Park,,,,file3
32226961,2646,36,36,New Dawn Fades,Joy Division,,,,file3
3507776,7918,26,26,The Evil ID (Original Mix),Max Graham,Male,1971-06-23T00:00:00Z,London,file3
31435741,17,23,23,Ready To Go (feat. Lil Wayne),Limp Bizkit,,,,file4
31435741,2313,44,58,Strangelove,Depeche Mode,,,,file4
31435741,933,28,28,Invisible Man,Theory of a Deadman,,,,file4
3507776,8965,27,27,We Own The Night (Club Mix),"Stoneface & Terminal, Kyau & Albert",,,,file4
3507776,8915,48,48,Our Brief Time In The Sun (Original Mix),Lange,Male,1974-06-04T00:00:00Z,Shrewsbury,file4
3507776,8041,43,43,Lost For Words (Club Mix),Giuseppe Ottaviani,Male,1978-11-12T00:00:00Z,Viterbo,file4
32226961,4156,23,23,Total War,Warbringer,,,,file4
21072247,1398,27,27,Child In Time,T.M. Stevens,,,,file4
31435741,934,40,40,Bad Girlfriend,Theory of a Deadman,,,,file4
31435741,289,46,46,Tick Tick Boom,The Hives,,,,file4
3507776,7267,23,23,Waiting For The Night (Beat Service Remix),Armin Van Buuren feat. Fiora,,,,file4
31435741,984,73,73,Black President,Nas,Male,1973-09-14T00:00:00Z,Brooklyn,file4
32226961,2606,39,39,Twenty Four Hours,Joy Division,,,,file4
31435741,2145,24,24,Lady Jesus,The Asteroids Galaxy Tour,,,,file4
31435741,2116,41,41,First Date (feat. Too Short),50 Cent,Male,1975-07-06T00:00:00Z,South Jamaica,file4
12142866,244,33,38,Words Darker Than Their Wings,Alter Bridge,,,,file4
31435741,1607,202,202,Melody,One Love,,,,file4
3507776,9867,22,22,Vanilla (Original Mix),Simon Patterson & Jordan Suckley,Male,1981-09-24T00:00:00Z,Belfast,file4
32226961,2640,40,41,She's Lost Control,Joy Division,,,,file4
21072247,979,20,20,Laid to Rest,Lamb of God,,,,file4
3507776,6909,26,26,Many Ways (Will Atkinson Midnight Remix),Ferry Corsten feat. Jenny Wahlstrom,,,,file4
31435741,583,56,56,I Like the Way,BodyRockers,,,,file4
21072247,181,27,27,Revolution Is My Name,Pantera,Male,1964-02-03T00:00:00Z,Santiago de Querétaro,file4
31435741,769,27,27,Wonderful Life,Hurts,,,,file4
21072247,2631,21,28,Symphony of Destruction,Megadeth,,,,file4
32226961,13,25,32,Cry of the Black Birds,Amon Amarth,,,,file4
31435741,1264,41,41,You Can Leave Your Hat On,Joe Cocker,Male,1944-05-20T00:00:00Z,Sheffield,file4
21072247,1038,20,20,Battle Against Time,Wintersun,,,,file4
31435741,204,23,23,MMG Untouchable,Rick Ross,Male,1976-01-28T00:00:00Z,Clarksdale,file4
12142866,540,24,24,Fear of a Blank Planet,Porcupine Tree,,,,file4
21072247,311,24,28,Thunderhorse,Dethklok,,,,file4
31435741,838,55,55,LA DA DE,Gorilla Zoe,Male,1983-01-26T00:00:00Z,Atlanta,file4
31435741,1370,43,43,I Don't Wanna Dance (zaycev.net),Alex Gaudino feat. Taboo,,,,file4
3507776,8874,20,20,Where Are You Now,Jon O'Bir feat. Solar Movement,,,,file4
12142866,3550,29,29,The Wishing Well (iii) We Talked,Pendragon,,,,file4
31435741,992,24,24,Body Bags,T.I. feat. Lil Wayne & Young Jeezy,,,,file4
31435741,131,119,119,Naïve,The Kooks,,,,file4
31435741,748,30,30,Evelyn,Hurts,,,,file4
32226961,6464,21,21,Combat Shock,Warbringer,,,,file4
3507776,6984,21,21,Heal This Empty Heart,Giuseppe Ottaviani featuring Alana Aldea,,,,file4
3507776,7316,26,26,Black Hole (Original Mix),Craig Connelly & Christina Novelli,,,,file4
31435741,1900,30,30,Воспоминание,Нюша,,,,file4
32226961,3932,22,22,Guardians of Asgaard,Amon Amarth,,,,file4
31435741,793,28,28,Illuminated,Hurts,,,,file4
31435741,1085,31,31,Когда твоя девушка больна,Кино,,,,file4
32226961,3084,33,33,Atmosphere,Joy Division,,,,file4
32226961,3784,28,28,Master and Servant,Depeche Mode,,,,file4
31435741,2155,20,20,The Golden Age,The Asteroids Galaxy Tour,,,,file4
31435741,1750,28,28,Dance Me If You Can,The Cheetah Girls,,,,file4
32226961,3795,42,42,Everything Counts,Depeche Mode,,,,file4
2798275,5783,20,20,artman,Kra,,,,file4
21072247,1857,24,26,Hit the Lights,Metallica,,,,file4
31435741,323,38,38,Money Maker,The Black Keys,,,,file4
31435741,792,28,28,Silver Lining,Hurts,,,,file4
2798275,5592,22,22,水風船,Kra,,,,file4
32226961,4590,32,32,Dead Souls,Joy Division,,,,file4
32226961,3609,20,20,When The Shadows Die,Ankhagram,,,,file4
31435741,754,30,30,Better Than Love,Hurts,,,,file4
21072247,395,22,22,Unholy Confessions,Avenged Sevenfold,,,,file4
3519430,11285,29,29,Ei Ole Helppoo,Gim Kordon,,,,file4
3507776,6849,40,40,"Live @ WE ARE ONE Festival (Citadel Spandau, Berlin) - 07.06.2013",Paul van Dyk,Male,1971-12-16T00:00:00Z,Eisenhüttenstadt,file4
3507776,10568,20,20,Silenced by the Night,Keane,,,,file4
31435741,1091,51,51,Away From Me (Radio Edit),Puddle of Mudd,,,,file4
12142866,1622,20,20,Telefon...,Svann,,,,file4
12142866,1674,22,22,Papapa,Svann,,,,file4
3507776,7679,24,24,Sugar (Original mix),Store N Forward,,,,file4
