users_id,tracks_id,interaction_count,total_playcount,track_name,artist_name
2798275,5415,22,22,夢のような日々,Kra
2798275,5522,28,28,Clown's Crown,Kra
2798275,5591,20,20,泡沫の花びら,Kra
2798275,5592,22,22,水風船,Kra
2798275,5595,21,21,月下美人,Kra
2798275,5605,23,23,戯園,"Kagrra,"
2798275,5772,25,25,常夜の君,Kra
2798275,5783,20,20,artman,Kra
2798275,5930,34,34,マスカレード,Kra
2798275,6141,22,22,negai ga kanau youni,Drug Store Cowboy
3507776,6823,21,21,We Are Tonight (Original Mix),Christian Burns & Paul Van Dyk
3507776,6849,40,40,"Live @ WE ARE ONE Festival (Citadel Spandau, Berlin) - 07.06.2013",Paul van Dyk
3507776,6907,20,20,Amsterdam,Imagine Dragons
3507776,6909,26,26,Many Ways (Will Atkinson Midnight Remix),Ferry Corsten feat. Jenny Wahlstrom
3507776,6984,21,21,Heal This Empty Heart,Giuseppe Ottaviani featuring Alana Aldea
3507776,7036,20,20,Empty Promises (Original Mix),Reverse
3507776,7153,30,30,Glühwürmchen (Original Mix),Kyau vs. Albert
3507776,7157,32,32,Everywhere  (Extended Mix),Paul Van Dyk feat. Fieldwork
3507776,7267,23,23,Waiting For The Night (Beat Service Remix),Armin Van Buuren feat. Fiora
3507776,7316,26,26,Black Hole (Original Mix),Craig Connelly & Christina Novelli
3507776,7443,20,20,Sun In Your Eyes (Mark Sherry's 'Argentinian Sun' Unofficial Remix),Above & Beyond
3507776,7679,24,24,Sugar (Original mix),Store N Forward
3507776,7844,29,29,Fall With Me (Original Mix),Ben Gold feat. The Glass Child
3507776,7883,22,22,End Of Summer (Original Mix),Activa
3507776,7888,20,20,Everywhere I Go (Indecent Noise's Godskitche Rework),The Space Brothers
3507776,7918,26,26,The Evil ID (Original Mix),Max Graham
3507776,7949,27,27,The One (Original Mix),Simon Patterson feat. Lucy Pullin
3507776,7980,22,22,Tyrant (Angry Acid Mix),Angry man
3507776,8041,43,43,Lost For Words (Club Mix),Giuseppe Ottaviani
3507776,8109,21,21,Spellbound (Original Mix),Darren Porter
3507776,8183,33,33,The Stockholm Syndrome (CLMD Extended Version),CLMD vs Kish feat. Froder
3507776,8187,27,27,Gave Me,Giuseppe Ottaviani
3507776,8871,22,22,Back For More,Jon O'bir
3507776,8874,20,20,Where Are You Now,Jon O'Bir feat. Solar Movement
3507776,8877,22,22,Our Way Home,Lange
3507776,8915,48,48,Our Brief Time In The Sun (Original Mix),Lange
3507776,8963,20,20,Mescaline (Future Disciple Remix),Angry man
3507776,8965,27,27,We Own The Night (Club Mix),"Stoneface & Terminal, Kyau & Albert"
3507776,9252,20,20,Lost In Berlin feat. Michelle Leonard (Extended Mix),Paul Van Dyk feat. Michelle Leonard
3507776,9524,21,21,Full On Fluoro 024,Paul Oakenfold
3507776,9863,20,20,No Saint Out of Me (Original Mix),Orjan Nilsen
3507776,9867,22,22,Vanilla (Original Mix),Simon Patterson & Jordan Suckley
3507776,9901,35,35,Sincerely JORS,John O'Callaghan & Ronski Speed
3507776,10179,30,30,Different,Robbie Williams
3507776,10568,20,20,Silenced by the Night,Keane
3507776,11938,23,23,My Love (Outburst Vocal Mix),Mark Sherry
3519430,11285,29,29,Ei Ole Helppoo,Gim Kordon
12142866,65,72,72,Ordery Chwały,The Bill
12142866,244,33,38,Words Darker Than Their Wings,Alter Bridge
12142866,305,23,23,Radioactive Toy,Porcupine Tree
12142866,470,22,22,Normal,Porcupine Tree
12142866,540,24,24,Fear of a Blank Planet,Porcupine Tree
12142866,1344,23,23,Second Life Syndrome,Riverside
12142866,1622,20,20,Telefon...,Svann
12142866,1674,22,22,Papapa,Svann
12142866,1795,20,20,Stripsearch,Faith No More
12142866,1922,22,22,Dotyk nocy,Svann
12142866,3384,23,23,Ksiazę,Svann
12142866,3550,29,29,The Wishing Well (iii) We Talked,Pendragon
12142866,3551,42,42,The Wishing Well (ii) So By Sowest,Pendragon
12142866,3553,29,29,01. As Good As Gold,Pendragon
21072247,8,41,49,Tornado Of Souls,Megadeth
21072247,9,29,52,Varyags of Miklagaard,Amon Amarth
21072247,20,37,40,Destroy The Orcs,3 Inches of Blood
21072247,101,25,28,Mr. Crowley,Ozzy Osbourne
21072247,105,32,32,Violent Revolution,Kreator
21072247,114,29,29,Time,Wintersun
21072247,118,21,21,Land of Snow and Sorrow,Wintersun
21072247,119,27,27,Sons of Winter and Stars,Wintersun
21072247,164,22,22,Electric Eye,Judas Priest
21072247,167,24,24,The Hellion,Judas Priest
21072247,181,27,27,Revolution Is My Name,Pantera
21072247,192,22,22,Hellraiser,Ozzy Osbourne
21072247,193,25,25,Believer,Ozzy Osbourne
21072247,234,29,29,Satch Boogie,Joe Satriani
21072247,287,51,52,Master of Puppets,Metallica
21072247,311,24,28,Thunderhorse,Dethklok
21072247,395,22,22,Unholy Confessions,Avenged Sevenfold
21072247,424,21,21,From the Ashes,Gamma Ray
21072247,438,22,22,The Fun Palace,Annihilator
21072247,582,23,23,Technical Difficulties,Racer X
21072247,721,21,21,Yesterday Don't Mean Shit,Pantera
21072247,722,22,22,Goddamn Electric,Pantera
21072247,751,35,35,The Curse of Castle Dragon,Paul Gilbert
21072247,799,20,20,Tale of Revenge,Ensiferum
21072247,800,28,28,Sword Chant,Ensiferum
21072247,835,30,30,Maddening Disdain,Arsis
21072247,979,20,20,Laid to Rest,Lamb of God
21072247,1038,20,20,Battle Against Time,Wintersun
21072247,1080,21,21,Murmaider II The Water God,Dethklok
21072247,1096,22,22,Głową w mur,Alastor
21072247,1114,28,28,Floods,Pantera
21072247,1232,22,22,"Red Light In My Eyes, Pt. 2",Children of Bodom
21072247,1304,38,38,Aesthetics of Hate,Machine Head
21072247,1371,31,31,This Is the End,Machine Head
21072247,1398,27,27,Child In Time,T.M. Stevens
21072247,1525,20,20,Viking Kong,Racer X
21072247,1752,42,44,Crazy Train,Ozzy Osbourne
21072247,1756,21,21,Krew I Łzy,Bonarges
21072247,1851,24,24,Full Tank,Paul Gilbert
21072247,1857,24,26,Hit the Lights,Metallica
21072247,2170,21,21,Through Fight We Grow,Virgin Snatch
21072247,2379,27,40,Holy Wars...The Punishment Due,Megadeth
21072247,2450,20,20,Cementery Gates,Pantera
21072247,2631,21,28,Symphony of Destruction,Megadeth
21072247,3256,23,23,Children of Bodom,Children of Bodom
31435741,17,23,23,Ready To Go (feat. Lil Wayne),Limp Bizkit
31435741,19,22,22,Fire It Up!,Limp Bizkit
31435741,53,54,54,Sick and Tired,Anastacia
31435741,86,84,85,Crystalised,The xx
31435741,131,119,119,Naïve,The Kooks
31435741,182,45,45,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy
31435741,204,23,23,MMG Untouchable,Rick Ross
31435741,231,107,107,Adrenaline (zaycev.net),Nine Lashes
31435741,289,46,46,Tick Tick Boom,The Hives
31435741,322,40,40,Can't Play Dead (zaycev.net),The Heavy
31435741,323,38,38,Money Maker,The Black Keys
31435741,355,40,40,Гинеколог,Кравц
31435741,374,239,239,Miracle,Hurts
31435741,396,76,76,Prince Igor,Warren G
31435741,426,155,155,Bad Blood,Bastille
31435741,559,70,70,Man's World,50 Cent
31435741,583,56,56,I Like the Way,BodyRockers
31435741,601,129,129,Tired Of Being Sorry,Enrique Iglesias
31435741,653,166,166,The Road (zaycev.net),Hurts
31435741,731,30,30,Happiness,Hurts
31435741,748,30,30,Evelyn,Hurts
31435741,752,30,30,Devotion,Hurts
31435741,753,31,31,"Blood, Tears & Gold",Hurts
31435741,754,30,30,Better Than Love,Hurts
31435741,755,29,29,The Water,Hurts
31435741,756,26,26,Mother Nature,Hurts
31435741,757,29,29,Affair,Hurts
31435741,769,27,27,Wonderful Life,Hurts
31435741,781,26,26,Unspoken,Hurts
31435741,790,27,27,Sunday,Hurts
31435741,791,28,28,Stay,Hurts
31435741,792,28,28,Silver Lining,Hurts
31435741,793,28,28,Illuminated,Hurts
31435741,838,55,55,LA DA DE,Gorilla Zoe
31435741,850,29,29,Doin Me,Kid Ink
31435741,866,96,96,Catch Me If You Can,Gym Class Heroes
31435741,895,21,21,Y'all Don't Really Know (zaycev.net),DMX
31435741,931,40,40,Villain,Theory of a Deadman
31435741,932,42,42,Bitch Came Back,Theory of a Deadman
31435741,933,28,28,Invisible Man,Theory of a Deadman
31435741,934,40,40,Bad Girlfriend,Theory of a Deadman
31435741,951,40,40,Lyrical Miracle,Brandon T. Jackson
31435741,976,47,47,Never Win (Benny Benassi Remix),Fischerspooner
31435741,984,73,73,Black President,Nas
31435741,992,24,24,Body Bags,T.I. feat. Lil Wayne & Young Jeezy
31435741,1043,86,86,Boys,Sabrina
31435741,1063,33,33,Кончится лето,Кино
31435741,1075,77,77,Группа крови,Кино
31435741,1085,31,31,Когда твоя девушка больна,Кино
31435741,1090,52,52,Rat Race,Billy Idol
31435741,1091,51,51,Away From Me (Radio Edit),Puddle of Mudd
31435741,1191,169,169,Mala Mala (She So Bad),Lil Eddie
31435741,1237,123,123,Tear Da Roof Off (OST Step Up 3D),Busta Rhymes
31435741,1244,66,66,Silent Machine (zaycev.net),Cat Power
31435741,1264,41,41,You Can Leave Your Hat On,Joe Cocker
31435741,1294,131,131,Too Funky,George Michael
31435741,1295,132,132,Freeek!,George Michael
31435741,1345,70,70,025 Tony Yayo Feat  50 Cent / So Seductive,Bravo unreal
31435741,1370,43,43,I Don't Wanna Dance (zaycev.net),Alex Gaudino feat. Taboo
31435741,1373,68,68,Cyanide Sweet Tooth Suicide (zaycev.net),Shinedown
31435741,1411,37,37,Good Good Night,Roscoe Dash
31435741,1545,52,52,Wicked Games,The Weeknd
31435741,1552,20,20,Sadeness,Enigma
31435741,1584,70,70,This Is The Night,Guru Josh Project
31435741,1585,177,177,Deep,Nine Inch Nails
31435741,1607,202,202,Melody,One Love
31435741,1652,66,66,The Little Things Give You Away,Linkin Park
31435741,1698,29,29,Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown
31435741,1709,39,39,With You,Linkin Park
31435741,1710,29,29,Baker Street (Vocal Edit),Michael Mind
31435741,1750,28,28,Dance Me If You Can,The Cheetah Girls
31435741,1764,32,32,Your Body (zaycev.net),Christina Aguilera
31435741,1765,30,30,Prima Donna,Christina Aguilera
31435741,1774,37,37,Hardest Man In Town,Nate Dogg
31435741,1789,51,51,Eyes Closed,Kanye West
31435741,1850,23,23,On A Bender,Bliss n Eso
31435741,1858,22,22,Down By the River,Bliss n Eso
31435741,1859,22,22,Addicted (zaycev.net),Bliss n Eso
31435741,1889,22,22,Nowhere But Up,Bliss n Eso
31435741,1898,32,32,Отображение,Нюша
31435741,1899,39,39,Попытка №5,ВИА Гра
31435741,1900,30,30,Воспоминание,Нюша
31435741,1902,30,30,Больно,Нюша
31435741,1903,31,31,Выше,Нюша
31435741,1904,31,31,Выбирать чудо,Нюша
31435741,1989,27,27,I Came 2 Party,Cinema Bizarre
31435741,2005,51,51,Cooler Than Me (Radio Edit),Mike Posner
31435741,2019,63,63,Sorry,Madonna
31435741,2040,22,22,"Ghetto Soldier - Ky-mani Marley featuring Louie Rankin, Main",Ky-Mani Marley
31435741,2084,42,42,Love Profusion,Madonna
31435741,2098,54,54,Get Up (Dirty),50 Cent
31435741,2116,41,41,First Date (feat. Too Short),50 Cent
31435741,2117,40,40,I'm On It (NO Tags),50 Cent
31435741,2144,22,22,Satellite,The Asteroids Galaxy Tour
31435741,2145,24,24,Lady Jesus,The Asteroids Galaxy Tour
31435741,2153,23,23,Around The Bend,The Asteroids Galaxy Tour
31435741,2155,20,20,The Golden Age,The Asteroids Galaxy Tour
31435741,2215,30,30,Twist and Shout,The Beatles
31435741,2227,166,166,Glamorous,Fergie
31435741,2311,41,43,Policy of Truth,Depeche Mode
31435741,2313,44,58,Strangelove,Depeche Mode
31435741,2314,44,44,Stripped,Depeche Mode
31435741,2315,39,53,People Are People,Depeche Mode
31435741,2396,57,57,The Lost (We Are),Prototype
31435741,2400,45,45,Lost weekend,Ninja Tune
31435741,2401,142,142,No More Love,Emphatic
31435741,2428,95,95,Here We Go Again,Static Cycle
31435741,2444,31,31,E.T. (Katy Perry Acoustic Cover),Tyler Ward
31435741,2445,31,31,Till The World Ends,Tyler Ward
31435741,2477,43,43,What I Get,Allele
31435741,2498,21,21,Blue Jeans,Lana Del Rey
31435741,2518,49,49,I Just Wanna,50 Cent
31435741,2525,51,51,Super Psycho Love,Simon Curtis
32226961,9,23,52,Varyags of Miklagaard,Amon Amarth
32226961,12,39,51,Live for the Kill,Amon Amarth
32226961,13,25,32,Cry of the Black Birds,Amon Amarth
32226961,2595,20,26,December Flower,In Flames
32226961,2606,39,39,Twenty Four Hours,Joy Division
32226961,2607,24,24,Heart and Soul,Joy Division
32226961,2626,20,20,Isolation,Joy Division
32226961,2633,36,36,Shadowplay,Joy Division
32226961,2640,40,41,She's Lost Control,Joy Division
32226961,2646,36,36,New Dawn Fades,Joy Division
32226961,2653,39,39,Disorder,Joy Division
32226961,2833,37,37,Sister Midnight,Iggy Pop
32226961,3084,33,33,Atmosphere,Joy Division
32226961,3087,53,53,Transmission,Joy Division
32226961,3111,32,32,Where Silent Gods Stand Guard,Amon Amarth
32226961,3383,33,33,The Passenger,Iggy Pop
32226961,3385,39,39,Some Weird Sin,Iggy Pop
32226961,3405,30,30,Tonight,Iggy Pop
32226961,3594,21,21,Twilight,Lake of Tears
32226961,3599,23,23,Heiðr,Burzum
32226961,3607,40,43,Love Will Tear Us Apart,Joy Division
32226961,3608,22,22,Don't Let Me Go Away,Ankhagram
32226961,3609,20,20,When The Shadows Die,Ankhagram
32226961,3755,20,20,Iron Lion Zion,Bob Marley
32226961,3783,22,24,Enjoy the Silence,Depeche Mode
32226961,3784,28,28,Master and Servant,Depeche Mode
32226961,3788,41,41,New Life,Depeche Mode
32226961,3789,25,25,Precious,Depeche Mode
32226961,3790,21,21,Never Let Me Down Again,Depeche Mode
32226961,3794,24,24,Suffer Well,Depeche Mode
32226961,3795,42,42,Everything Counts,Depeche Mode
32226961,3797,26,26,Just Can't Get Enough,Depeche Mode
32226961,3932,22,22,Guardians of Asgaard,Amon Amarth
32226961,4156,23,23,Total War,Warbringer
32226961,4337,21,21,Headstones,Lake of Tears
32226961,4568,30,30,Roxanne 97 Puff Daddy Remix,The Police
32226961,4569,24,24,These Days,Joy Division
32226961,4590,32,32,Dead Souls,Joy Division
32226961,4591,21,21,Incubation,Joy Division
32226961,4698,27,27,Success,Iggy Pop
32226961,4774,20,20,Twilight of the Thunder God,Amon Amarth
32226961,4782,22,22,It's No Good,Depeche Mode
32226961,4814,21,21,Somebody to Love,Jefferson Airplane
32226961,4931,24,24,Shake the Disease,Depeche Mode
32226961,6402,22,22,Intervention,Arcade Fire
32226961,6463,20,20,Systematic Genocide,Warbringer
32226961,6464,21,21,Combat Shock,Warbringer
